"id_curriculo";"codigo";"nome_matriz";"id_curso";"nome_curso";"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"meses_conclusao_minimo";"meses_conclusao_ideal";"meses_conclusao_maximo";"cr_total_minimo";"ch_total_minima";"ch_optativas_minima";"ch_complementar_minima";"max_eletivos";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"cr_minimo_semestre";"cr_ideal_semestre";"cr_maximo_semestre";"ch_minima_semestre";"ch_ideal_semestre";"ch_maxima_semestre";"periodo_entrada_vigor";"ano_entrada_vigor";"observacao"
"133751742";"3";"HISTÓRIA - NATAL - M - LICENCIATURA";"111635057";"HISTÓRIA";"8";"9";"14";"";"";"";"141";"3225";"360";"200";"600";"2205";"141";"460";"";"";"";"60";"";"415";"1";"2019";""
"510278494";"02B";"ENGENHARIA ELÉTRICA - NATAL - MTN - FORMAÇÃO";"2000030";"ENGENHARIA ELÉTRICA";"10";"10";"16";"";"";"";"158";"3885";"1230";"0";"600";"2370";"158";"285";"1";"28";"32";"15";"";"0";"1";"2011";""
"2984610";"04";"CIÊNCIAS CONTÁBEIS - CAICÓ - MN - BACHARELADO";"2000012";"CIÊNCIAS CONTÁBEIS";"10";"10";"16";"";"";"";"164";"3160";"240";"0";"600";"2460";"164";"460";"1";"20";"24";"15";"";"0";"1";"2007";""
"133753914";"3";"HISTÓRIA - NATAL - N - LICENCIATURA";"111635057";"HISTÓRIA";"8";"9";"14";"";"";"";"141";"3225";"360";"200";"600";"2205";"141";"460";"";"";"";"60";"";"415";"1";"2019";""
"149719122";"01";"BACHARELADO INTERDISCIPLINAR EM HUMANIDADES - NATAL - M";"149717829";"BACHARELADO INTERDISCIPLINAR EM HUMANIDADES";"6";"6";"9";"";"";"";"31";"2400";"460";"200";"600";"1380";"31";"360";"";"";"";"";"";"0";"1";"2021";""
"111465370";"02";"ENGENHARIA DE ALIMENTOS - NATAL - N - FORMAÇÃO";"2000150";"ENGENHARIA DE ALIMENTOS";"12";"12";"18";"";"";"";"187";"3615";"370";"185";"600";"2835";"187";"225";"2";"18";"36";"30";"";"420";"2";"2015";""
"85698118";"01b";"NUTRIÇÃO - SANTA CRUZ - MT - FORMAÇÃO";"10317040";"NUTRIÇÃO";"9";"9";"13";"";"";"";"133";"4015";"825";"0";"600";"2280";"133";"910";"2";"33";"35";"15";"";"0";"1";"2012";""
"105694093";"02";"ENGENHARIA DE SOFTWARE - NATAL - MT - BACHARELADO";"17848940";"ENGENHARIA DE SOFTWARE";"9";"9";"14";"";"";"";"66";"3600";"540";"190";"600";"2490";"66";"380";"12";"26";"30";"180";"";"0";"2";"2014";""
"115838871";"02";"ENGENHARIA BIOMÉDICA - NATAL - N - FORMAÇÃO";"85341136";"ENGENHARIA BIOMÉDICA";"11";"11";"16";"";"";"";"88";"3685";"370";"185";"600";"2880";"88";"250";"4";"20";"32";"60";"";"0";"1";"2016";""
"96727359";"01";"GESTÃO DE COOPERATIVAS - NATAL - MT - TECNOLÓGICO";"96726786";"GESTÃO DE COOPERATIVAS";"6";"6";"9";"";"";"";"0";"1900";"120";"100";"600";"1500";"0";"180";"1";"20";"32";"15";"";"";"1";"2013";""
"121507906";"01";"JORNALISMO - NATAL - N";"118835329";"JORNALISMO";"7";"9";"12";"";"";"";"126";"3000";"420";"300";"600";"1980";"126";"300";"";"";"";"60";"";"420";"1";"2017";""
"96085636";"01";"HISTÓRIA - CAICÓ - MT - BACHARELADO";"2000047";"HISTÓRIA";"8";"8";"14";"";"";"";"140";"2850";"420";"0";"600";"2100";"140";"330";"4";"24";"28";"60";"";"0";"1";"2013";""
"100844";"02";"MÚSICA - NATAL - INSTRUMENTO - MT - BACHARELADO";"2000057";"MÚSICA";"8";"8";"12";"";"";"";"36";"3075";"1650";"0";"600";"540";"36";"885";"1";"98";"99";"15";"0";"0";"2";"2006";""
"89214922";"06";"MATEMÁTICA - CAICÓ - TN - LICENCIATURA";"2000055";"MATEMÁTICA";"8";"8";"12";"";"";"";"160";"3210";"210";"0";"600";"2400";"160";"600";"1";"98";"99";"15";"";"0";"1";"2012";""
"93191138";"01B";"FÍSICA - NATAL - MTN - LICENCIATURA";"2000124";"FÍSICA";"8";"10";"16";"";"";"";"174";"3060";"0";"";"600";"2460";"174";"600";"2";"16";"26";"30";"";"";"2";"2012";""
"121495702";"01";"JORNALISMO - NATAL - T";"118835329";"JORNALISMO";"6";"9";"12";"";"";"";"126";"3000";"420";"300";"600";"1980";"126";"300";"";"";"";"60";"";"420";"1";"2017";""
"121323873";"02";"ENGENHARIA AGRONÔMICA - MACAÍBA - MTN - FORMAÇÃO";"2576632";"ENGENHARIA AGRONÔMICA";"10";"10";"14";"";"";"";"186";"3720";"420";"210";"600";"2790";"186";"300";"";"";"";"30";"";"420";"1";"2017";""
"25767750";"01";"ENGENHARIA DE AQUICULTURA - NATAL - MT - BACHARELADO";"2576623";"ENGENHARIA DE AQUICULTURA";"10";"10";"14";"";"";"";"180";"3630";"240";"0";"600";"2700";"180";"690";"16";"24";"32";"240";"";"0";"1";"2011";""
"102359682";"02";"CIÊNCIA DA COMPUTAÇÃO - NATAL - MT - BACHARELADO";"2000013";"CIÊNCIA DA COMPUTAÇÃO";"10";"10";"15";"";"";"";"48";"3290";"420";"170";"600";"2610";"48";"90";"12";"24";"30";"180";"";"0";"1";"2014";""
"507135240";"01B";"LETRAS - LÍNGUA PORTUGUESA - CURRAIS NOVOS - TN - LICENCIATURA";"2000053";"LETRAS";"8";"8";"12";"";"";"";"147";"2910";"105";"0";"600";"2205";"147";"600";"1";"98";"99";"15";"";"0";"1";"2011";""
"127748071";"02";"PEDAGOGIA - NATAL - T - LICENCIATURA";"2000063";"PEDAGOGIA";"10";"10";"14";"";"";"";"0";"3220";"330";"200";"600";"2280";"0";"410";"";"";"";"120";"";"360";"1";"2018";""
"102390005";"01A";"PEDAGOGIA - NATAL - MTN - LICENCIATURA";"50799262";"PEDAGOGIA";"8";"8";"12";"";"";"";"177";"3215";"0";"0";"600";"2655";"177";"560";"15";"20";"30";"15";"";"0";"1";"2014";""
"110402692";"02";"ENGENHARIA MECÂNICA - NATAL - N - FORMAÇÃO";"2000031";"ENGENHARIA MECÂNICA";"10";"11";"15";"";"";"";"0";"3850";"390";"210";"600";"3030";"0";"220";"17";"23";"29";"260";"";"0";"2";"2015";""
"115802434";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"30";"2400";"270";"120";"600";"2010";"30";"0";"4";"24";"32";"60";"";"0";"1";"2016";""
"51333162";"01";"LETRAS - NATAL - LINGUA PORTUGUESA - MTN - LICENCIATURA";"50852239";"LETRAS";"8";"8";"12";"";"";"";"169";"2970";"0";"0";"600";"2370";"169";"600";"16";"22";"46";"15";"";"0";"1";"2011";""
"107405556";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"10";"";"";"";"0";"2400";"1020";"120";"600";"1260";"0";"0";"4";"24";"32";"120";"";"0";"1";"2015";""
"132995161";"03";"LETRAS - FRANCÊS - NATAL - M";"118836561";"LETRAS - FRANCÊS";"8";"8";"12";"";"";"";"120";"3220";"360";"200";"600";"1860";"120";"800";"";"";"";"60";"";"0";"1";"2019";""
"107405230";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"0";"2400";"1020";"120";"600";"1260";"0";"0";"180";"420";"480";"180";"";"0";"1";"2015";""
"119513031";"01";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL - NATAL - N";"119512361";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL";"9";"9";"13";"";"";"";"124";"2700";"300";"200";"600";"1860";"124";"340";"";"";"";"300";"";"0";"1";"2017";""
"127679272";"03";"ENGENHARIA FLORESTAL - MACAÍBA - MT - FORMAÇÃO";"8068230";"ENGENHARIA FLORESTAL";"10";"10";"15";"";"";"";"197";"3840";"390";"195";"600";"2955";"197";"300";"";"";"";"180";"";"0";"1";"2018";""
"89189948";"07";"GEOGRAFIA - CAICÓ - MT - LICENCIATURA";"111635055";"GEOGRAFIA";"8";"8";"14";"";"";"";"139";"2870";"180";"0";"600";"2085";"139";"605";"1";"21";"30";"15";"";"0";"1";"2012";""
"96085436";"01";"HISTÓRIA - CAICÓ - N - LICENCIATURA";"111635060";"HISTÓRIA";"8";"8";"14";"";"";"";"132";"3000";"420";"0";"600";"1980";"132";"600";"4";"24";"28";"60";"";"0";"1";"2013";""
"127681072";"05";"LETRAS - LÍNGUA PORTUGUESA - NATAL - N";"118881115";"LETRAS - LÍNGUA PORTUGUESA";"10";"10";"15";"";"";"";"117";"3280";"700";"200";"600";"1920";"117";"460";"";"";"";"180";"";"0";"2";"2018";""
"89306921";"08";"GEOGRAFIA - CAICÓ - N - BACHARELADO";"2000044";"GEOGRAFIA";"8";"8";"14";"";"";"";"115";"2405";"180";"0";"600";"1725";"115";"500";"1";"21";"30";"15";"";"0";"1";"2012";""
"101850027";"02";"GEOFÍSICA - NATAL - MT - BACHARELADO";"2936390";"GEOFÍSICA";"8";"8";"12";"";"";"";"148";"2910";"300";"150";"600";"2220";"148";"240";"8";"26";"30";"120";"";"0";"1";"2014";""
