id_componente,codigo,nome,ch_teorico,ch_pratico,ch_total,equivalencia,pre_requisito,co_requisito
61100,IMD0245,"TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO DE GESTÃO ""F""",60,0,60,,,
61101,IMD0246,"TÓPICOS ESPECIAIS EM SISTEMAS DE INFORMAÇÃO DE GESTÃO ""G""",60,0,60,,,
61102,IMD0230,"TÓPICOS ESPECIAIS EM SISTEMAS EMBARCADOS ""A""",60,0,60,,,
61103,IMD0231,"TÓPICOS ESPECIAIS EM SISTEMAS EMBARCADOS ""B""",60,0,60,,,
61104,IMD0232,"TÓPICOS ESPECIAIS EM SISTEMAS EMBARCADOS ""C""",60,0,60,,,
61105,IMD0233,"TÓPICOS ESPECIAIS EM SISTEMAS EMBARCADOS ""D""",60,0,60,,,
61106,IMD0234,"TÓPICOS ESPECIAIS EM SISTEMAS EMBARCADOS ""E""",60,0,60,,,
61107,IMD0235,"TÓPICOS ESPECIAIS EM SISTEMAS EMBARCADOS ""F""",60,0,60,,,
61108,IMD0236,"TÓPICOS ESPECIAIS EM SISTEMAS EMBARCADOS ""G""",60,0,60,,,
61109,IMD0260,"TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""A""",60,0,60,,,
61110,IMD0261,"TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""B""",60,0,60,,,
61111,IMD0262,"TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""C""",60,0,60,,,
61112,IMD0263,"TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""D""",60,0,60,,,
61113,IMD0264,"TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""E""",60,0,60,,,
61114,IMD0265,"TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""F""",60,0,60,,,
61115,IMD0266,"TÓPICOS ESPECIAIS EM BIOINFORMÁTICA ""G""",60,0,60,,,
61116,IMD0270,"TÓPICOS ESPECIAIS EM REDES DE COMPUTADORES ""A""",60,0,60,,,
61117,IMD0271,"TÓPICOS ESPECIAIS EM REDES DE COMPUTADORES ""B""",60,0,60,,,
61118,IMD0272,"TÓPICOS ESPECIAIS EM REDES DE COMPUTADORES ""C""",60,0,60,,,
61119,IMD0273,"TÓPICOS ESPECIAIS EM REDES DE COMPUTADORES ""D""",60,0,60,,,
61120,IMD0274,"TÓPICOS ESPECIAIS EM REDES DE COMPUTADORES ""E""",60,0,60,,,
61121,IMD0275,"TÓPICOS ESPECIAIS EM REDES DE COMPUTADORES ""F""",60,0,60,,,
61122,IMD0276,"TÓPICOS ESPECIAIS EM REDES DE COMPUTADORES ""G""",60,0,60,,,
61129,IMD0701,ADMINISTRAÇÃO DE SISTEMAS OPERACIONAIS PARA REDES,60,0,60,,,
61130,IMD0705,PRINCÍPIOS DE LEGISLAÇÃO APLICÁVEIS À TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DE DADOS,30,0,30,,,
61132,IMD0822,PROJETO DE INOVAÇÃO TECNOLÓGICA,30,30,60,,IMD0040 OU DCA1202 ,
62381,DBQ0047,QUÍMICA GERAL E ORGÂNICA,45,15,60,,,
62382,DBQ0048,FUNDAMENTOS DE BIOQUÍMICA E BIOLOGIA MOLECULAR,75,15,90,,,
62886,IMD0702,SERVIÇOS DE REDE E TRANSPORTE,30,30,60,,,
62887,IMD0703,SEGURANÇA DE REDES,30,30,60,,,
62888,IMD0704,ADMINISTRAÇÃO DE SERVIÇOS DE REDES PARA INTERNET,15,45,60,,,
63824,ITE0001,FUNDAMENTOS DAS TECNOLOGIAS EDUCACIONAIS,30,15,45,,,
63825,ITE0002,METODOLOGIAS INOVADORAS DE ENSINO E APRENDIZAGEM,30,15,45,,,
